Title,Content
反制藍白國會擴權！民進黨團將提「釋憲」,記者凌毓鈞、戴偉臣 / 台北報導 擴權法案三讀通過，行政院表示，等收到法案後將提出覆議，但如果沒超過二分之一的立委支持覆議就失敗，等到總統公布法令，民進黨團預計會聲請釋憲。不過法界人士建議，除了可提釋憲外，如果要暫緩實施法律，還必須聲請「暫時處分」。 抗議民眾（05.28）：「公民捍衛民主，公民捍衛民主！」 國會擴權法在抗議聲中三讀通過，執政黨要反制，將先覆議再釋憲。 民進黨團幹事長吳思瑤：「我們立院黨團已經在規劃中的，我們釋憲的聲請作業，都會依據程序來進行。行政院也已經表明他們即將要提起覆議，民進黨團是尊重。」 總統府發言人郭雅慧：「在社會高度疑慮當中，立法院還是三讀通過相關爭議性的法案，相信這並非台灣社會的共同期待，立法院的民進黨團也宣布要聲請釋憲，總統府都皆予以尊重。」 行政院收到法案後將提出覆議，立法院15天內必須處理，如果沒有超過二分之一立委支持，覆議失敗。就目前藍白聯手的狀況，覆議成功機率低，總統在10天內得公告法案，民進黨團將在法案公告3天後聲請釋憲。 律師洪維駿：「憲法法庭的案件量也不少，所以一個案件從聲請到受理，到憲法法庭做出裁決，會需要相當的時間，如果要阻止總統公布的法規去做適用的話，還必須同時聲請暫時處分，才能達成這樣的目的。」 我國釋憲史上唯一一次針對新法條做出暫停適用的決定，是2005年針對戶籍法第8條第2項第3款，要求按捺指紋才能請領新版身分證，當時大法官會議認定牴觸憲法保障人民資訊隱私權，最終法令失效，當時聲請釋憲的提案立委就是現任總統賴清德。歷經1年3個月，這次執政黨將為了國會擴權法案，再請憲法法庭主持公道。 國民黨最可能被罷免的立委？網竟點名了他
男搶劫女店員反挨狂揍！她真實身分超驚人,文／CTWANT ▲男子路過一家商店，並試圖搶劫。（示意圖／翻攝自Pixabay） 阿根廷一名男子在深夜時分路過一家商店，並試圖透過服務窗口搶劫時，恰好遇上了同時為踢拳（Kickboxing）專家的女店員亞內拉（Yanela Cacere），因此遭受到猛烈的拳頭攻擊，最後只能落荒而逃。 根據外媒《每日郵報》（Daily Mail）的報導，事情發生在當地時間5月22日，從監視器畫面可以看到，外面天色昏暗，有一名男子透過關閉的服務窗口向店內的亞內拉搭話，表示想要一瓶礦泉水，而當亞內拉拿著水瓶並開啟服務窗口時，對方卻試圖翻窗闖進室內。 很快地，亞內拉趕緊丟下手中的水瓶，往男子頭上狂揍超過10拳，並試圖抓住對方的衣服阻止他逃跑，但男子最終還是鑽回去，兩手空空地逃走了，而亞內拉則再次將服務窗口的窗戶鎖上。 事發過後，亞內拉表示，當時男子先詢問她香菸，但她告訴對方商店並沒有售賣，男子則再問她是否能喝水，就發生了上述的事情。 亞內拉進一步透露，自己其實是踢拳專家，她當時想以手臂鎖住對方，也因為揮拳的力量太大，指關節都流了血。不過，據了解，目前還不清楚當地警方是否有收到相關的搶劫報案。 延伸閱讀 露天泡澡悲劇了！浴缸慘變「大水蟻濃湯」
三商巧福湯匙難用？饕客反讚：餐飲業最頂,生活中心／柯美儀報導 ▲有網友抱怨三商巧福內用的湯匙很重。（圖／翻攝自三商巧福臉書） 牛肉麵連鎖店「三商巧福」在台灣深耕41年，是台灣第一家台式料理速食餐廳，擁有許多忠實顧客。近日一名網友到三商巧福用餐，抱怨內用湯匙有夠重，引發熱議，對此，不少網友反而覺得「這種湯匙才是好的」。 原PO在PTT發文表示，每次到三商巧福內用，最不能理解的就是餐廳使用的陶瓷湯匙，不僅拿起來很重，不慎敲到牙齒還相當痛，讓他不禁皺眉直呼「沒人發現三商巧福湯匙有夠重嗎」？ 貼文一出，引發討論，多數網友支持三商巧福使用陶瓷材質的湯匙，認為這樣才能避免吃到塑化劑，「至少不是美耐皿那種」、「我倒覺得是優點」、「這種湯匙才是好的」、「不會有塑化劑的湯匙讚」、「已經很少店家願意用這種湯匙了」、「餐飲業最頂」。 還有網友笑說「去三商巧福就是要聽湯匙跟碗觸碰，發出鏘鏘聲才對味」；不過也有網友反映，有些三商巧福分店已經把湯匙換掉了。 交情普「喜宴1桌2萬6」包多少？網曝1數字
離譜母摩鐵性交易　同行國小女兒也被猥褻,記者楊忠翰／台中報導 ▲張姓工人與女網友完成性交易後，又對她的國小女兒伸出狼爪。（示意圖，非當事人／資料照） 台中市1名張姓工人，去年7月間透過交友軟體結識女子小萱（化名），雙方約在台中市某汽車旅館性交易，小萱帶著國小女兒赴約；張男與小萱完事後，還進一步猥褻女童，甚至張男載送母女返家途中，又一次對女童伸出狼爪，一審法官判張男1年6月徒刑，張男不服提起上訴，二審法官予以緩刑5年。 檢警調查，去年7月底，張男透過交友軟體約小萱性交易，小萱先騎機車載女兒到彰化縣某超商，並由張男載送母女到麗寶樂園搭乘摩天輪，3人再一同入住汽車旅館，張男與小萱完成性交易後，仍進一步猥褻國小女童得逞。 事後張男開車載送母女返回超商，他先讓小萱單獨下車，再開車尾隨對方機車，直到返回小萱住家，張男趁女童下車時，再次對她伸出狼爪，小萱得知後氣憤報案，全案才得以曝光。 張男應訊時坦承犯行，一審法官依強制猥褻罪判他1年6月徒刑，張男認為量刑過重而上訴，並提出提出自白悔過書，自幼家貧未能升學，只能工作賺錢，又不慎從高樓摔落，導致右半邊手腳萎縮，因沒交過女朋友，內心自卑不平衡，才會犯下此案，他已賠償15萬元，與小萱達成和解，請求輕判。 二審法官認為，張男沒有前科，這次又是初犯，犯後態度良好，並與女童家屬達成和解，如期賠償15萬元，應無再犯之虞，遂改判緩刑5年，期間付保護管束，並提供60小時義務勞務及8場法治教育，全案仍可上訴。 獨／三總醫師被擄走！2煞鎮暴槍勒索400萬
台中澄清醫院爆無差別攻擊！9醫護掛彩,記者林意筑／台中報導 ▲台中平等澄清醫院傳出醫護人員遭前員工毆傷。（圖／翻攝畫面） 台中澄清醫院驚傳無差別攻擊事件，一名49歲向姓男子之前曾是平等澄清醫院的員工，今（29）日上午8時許進入院區後，無故對著多名醫護人員揮拳攻擊，其他人員見狀後紛紛衝上前欲他壓制，不過卻反遭他毆傷，警方獲報到場後，將他依違反醫療法現行犯逮捕送辦，最後總計有9名醫護受傷，所幸均無生命危險。 據悉，向男多年前曾在澄清醫院平等院區擔任保全工作，昨日晚間向男與一名街友先到中區，像某旅社要求替街友辦理入住一個月，但遭業者拒絕，隨後向男便語無倫次對著櫃檯人員大罵、拍打玻璃後就離開。 直到今天上午向男又前往澄清醫院，他走進急診室後，對著辦公室內多名醫護人員拳打腳踢，甚至毀損大廳塑膠隔板、立牌，其他醫護人員見狀後都衝出來幫忙壓制，不過卻反遭攻擊，至少9名醫護人員受傷，無病患受到攻擊，所幸皆僅受輕傷、無大礙。 警方獲報到場發現向男徒手攻擊醫護人員共9人，均造成表皮擦挫輕傷無大礙，警方現場依違反醫療法現行犯上銬逮捕，後續偵辦中。 不良行為，請勿模仿！ 獨／三總醫師被擄走！2煞鎮暴槍勒索400萬
獨／餐廳推處女和牛　民眾查編號：是公牛,記者王培驊、王翊軒 / 台北報導 一位民眾發文表示，高檔無菜單料理餐廳，標榜食材是「處女和牛」，也就是30個月內沒有交配的「雌牛」，不過根據店家照片查詢後，發現店內使用「公牛」，氣得控訴店家廣告不實，不過餐廳老闆回應，店內雖然主打「處女牛」，但店內和牛品項多，也有一般和牛和公牛，並非民眾所說的廣告不實。 一道道和牛全是無菜單料理，業者打出使用「處女和牛」，也就是30個月內沒有交配的「雌牛」，吃起來比較沒有乳臭味，藉此吸引客人，但卻被投訴廣告不實。 中華和牛國際交流協會理事長潘豪彬：「他強打這種日本和牛的處女牛為主題，但是我們發現裡面的內容，好像跟他講得不太一樣，他被查證出來都是公牛而不是母牛。」 民眾PO出和業者的對話截圖，因為最近「和牛過期」事件頻傳，要求店家提供食材、日期證明，店家也馬上回傳多張和牛照片，上頭都有註記有效期限，不過民眾注意到「和牛編號」，實際查詢後發現竟然不是處女牛，而是都是「閹割的公牛」認為受到欺騙。 當事店家：「只有日本和牛是處女牛，像澳洲的都不是處女牛，而且我們11道菜只有2道是處女牛，而且我們都會講，這個真的是處女牛，像這個都是同業跟我們一起進的，因為一起進貨肉會比較便宜一點。」 實際前往該店家詢問，老闆表示雖然主打「處女牛」，不過餐廳內和牛品項多，還會提供和牛貨源給火鍋店和燒肉店，擺在店內的不見得都是「處女牛」，當時傳給民眾的照片，也只是提供對方檢查是否過期，並非「處女牛」照片，懷疑是同業競爭才傳出謠言。 當事店家：「台北市本來（店家）生存就很困難，為什麼還要這樣子？是太閒嗎？」 市面上和牛價格肋眼菲力一公斤3千多，羽下肉一公斤1200至1800不等，而所謂的處女和牛、去勢公牛和一般和牛價格差異不大，但油花分布和口感會有些微不同，一般民眾較難分辨，不過也因為這次插曲，意外讓「處女和牛」被大眾知曉。 交情普「喜宴1桌2萬6」包多少？網曝1數字
黃仁勳成「3兆男」！登上全球15大富豪,輝達（NVIDIA）股價再創新高，28日收在1139.01美元，市值攀高至2.8兆美元，逼近蘋果（Apple）的2.91兆美元。黃仁勳的身價也隨著水漲船高，達到1000億美元大關，成為全球第15大富豪。 ▲黃仁勳淨資產躍升至1000億美元，折合約新台幣3.23兆元。（圖／記者王翊綺攝影） 受惠人工智慧（AI）浪潮，輝達營運爆炸性成長，第1季營收達260.4億美元，年增262%，預期第2季營收可望進一步攀高至280億美元，財報與展望皆優於市場預期。 此外，輝達決定進行1拆10股票分割計畫，激勵股價急遽走高，28日收盤達到1139.01美元，再創新高，據網站Companiesmarketcap統計，輝達市值2.8兆美元，逼近蘋果的2.91兆美元，居美股第3位。微軟（Microsoft）市值約3.2兆美元，居冠。 輝達今年以來市值激增1.578兆美元，增幅達129%。黃仁勳淨資產躍升至1000億美元，折合約新台幣3.23兆元，在彭博億萬富翁指數中成為全球第15大富翁。 新／黃仁勳、張忠謀大咖齊聚超難訂私廚！
富國島丟包292台人　品保協會將提告詐欺,記者楊佩琪／台北報導 ▲傳出林大鈞找金主有意東山再起開旅行社，引發各界譁然。（資料照／記者林柏廷攝） 爆發欠款爭議，造成292名台灣旅客被丟包富國島，影響上百旅客無法出團的年代旅遊，繼被觀光署勒令停業3個月，開罰81萬元，台北地檢署也已主動分案，以涉犯詐欺等罪簽分他字案，交由民生專組檢察官偵辦。卻傳出年代旅遊負責人林大鈞想東山再起，找到金主成立新的旅行社。中華民國旅行行業品質保障協會決定將於30日上午，赴台北地檢署對林大鈞及員工等人提告詐欺。 全案源於農曆年節期間，一共292名台灣旅客參加年代旅遊的富國島旅行團後被丟包當地，引發軒然大波。也有越來越多原本預計出遊的旅客，踢爆年代旅遊收了錢，卻連機票都沒買、飯店也沒訂，不排除年代旅遊財務出現黑洞且有擴大趨勢，觀光署因此勒令年代旅遊(美加國際旅行社)停業3個月。 之後觀光署並宣布對年代旅遊開罰81萬元，繳款期限為3月4日，若未繳，將被撤照，林大鈞5年內也不能再經營旅行社。署長周永暉並表示，若可舉證詐欺行為，將會依詐欺罪將林大鈞移送法辦。中華民國旅行業品質保障協會也宣布將年代旅遊出會。 品保協會理事長張永成痛批，觀光署曾會同品保協會到年代旅遊稽查，當時林大鈞在場，也做了相當多承諾，但問題一次爆發，林大鈞所有承諾也通通沒兌現，且銀行帳戶內根本是0，顯然錢一進來立刻就移走，如此財務有嚴重瑕疵卻來繼續接團「根本蓄意詐騙」。 但對此，年代旅遊負責人林大鈞卻兩手一攤，從事件爆發初期還信誓旦旦強調「公司財務沒問題」，發聲明改口「美加國際旅行社有限公司因財務困難無法對旅客負起賠償責任及出團責任」，更引發各界撻伐。 獨／三總醫師被擄走！2煞鎮暴槍勒索400萬
新／黃仁勳、張忠謀大咖齊聚超難訂私廚！,記者王翊綺／台北報導 ▲黃仁勳、張忠謀、林百里再訪「鄒記食舖」，圖為今年1月底於該店用餐畫面。（圖／翻攝自Eric Koh臉書） 輝達（NVIDIA）執行長黃仁勳來台，一舉一動受到關注，今（29）晚再訪台北超難預約的的私廚餐廳「鄒記食舖」用餐，同行者還有台積電（2330）創辦人張忠謀、廣達（2382）董事長林百里等人，堪稱「AI大佬」們齊聚！據悉該店也是林百里和鴻海（2317）創辦人郭台銘的愛店，年初林百里就曾帶黃仁勳前往，本次再訪可見一吃就上癮。 鄒記食舖被稱為最難預約的私廚餐廳之一，不僅採全預約制，還必須是熟客才能訂到位子，且店裡一次只接待2桌客人，預約早已整年都客滿。 新／黃仁勳、張忠謀大咖齊聚超難訂私廚！
周湯豪唱到一半險被撞下舞台！全場看傻眼,記者鄭尹翔／台北報導 ▲周湯豪唱到一半被攝影機撞飛差點跌落舞台。（圖／翻攝自周湯豪IG） 歌手周湯豪近日在社群媒體曬出一段影片，開頭就寫著「我在演唱會唱到一半被撞飛」，而畫面中則是攝影機的視角，當周湯豪唱到一半，就突然往他的方向直直衝，整個人就是要往觀眾的方向跌落，還好當時有人幫他扶了一把，不然不只跌倒，還會整個人掉下去。 ▲周湯豪唱到一半被攝影機撞飛差點跌落舞台。（圖／翻攝自周湯豪IG） 周湯豪曬出自己被撞飛的影片，發文還寫著「尬Damn」，而影片中，原本正在台上賣力演出，沒想到舞台前方的軌道攝影機，突然往前衝，但一不小心衝過頭，就直接把周湯豪給撞飛，撞擊力道之大，還讓他一度差點摔下舞台跌入觀眾群。 ▲周湯豪日前演出差點跌落舞台。（圖／環球音樂提供） 有粉絲透露這是周湯豪在馬來西亞站的演出，但這被撞飛的畫面曝光，粉絲則是留言笑說「好可愛」，因為周湯豪被撞之後，傻眼的表情超可愛，但也有粉絲要周湯豪注意安全，而周湯豪在影片字幕上也說「我真的嚇爛」、「差點就噴出去」。 ※ 本網頁已閒置超過5分鐘，請點擊右上關閉鈕，即可關閉。 周湯豪唱到一半險被撞下舞台！全場看傻眼 驚險影片一刀未剪 | 娛樂星聞
